ArticleTitle,Question,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was Volta an Italian physicist?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was Volta an Italian physicist?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Where did Volta enter retirement?,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Where did Volta enter retirement?,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,For how many years did Alessandro Volta live?,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,What was Alessandro Volta`s profession?,physisist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,How old was Alessandro Volta when he died?,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
